BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
4,10,12,test,2004999,396599,334545,2004999,146108,0,0,47378,0.963333,0.976667,240
4,11,4,test,2004999,396599,334545,2004999,92576,0,0,32915,0.873333,0.886667,170
4,11,5,test,2004999,396599,334545,2004999,102519,0,0,35342,0.916667,0.93,198
4,11,6,test,2004999,396599,334545,2004999,111793,0,0,39671,0.94,0.953333,225
4,11,7,test,2004999,396599,334545,2004999,122184,0,0,44031,0.956667,0.97,253
4,11,8,test,2004999,396599,334545,2004999,220089,0,0,106954,1.05,1.06333,201
4,11,9,test,2004999,396599,334545,2004999,144736,0,0,62019,1.09333,1.10667,218
4,11,10,test,2004999,396599,334545,2004999,141376,0,0,53863,1.1,1.11333,233
4,11,11,test,2004999,396599,334545,2004999,142257,0,0,48807,1.10667,1.12,248
4,11,12,test,2004999,396599,334545,2004999,145636,0,0,47091,1.11333,1.12667,263
4,12,4,test,2004999,396599,334545,2004999,92489,0,0,32903,1.03,1.04333,190
4,12,5,test,2004999,396599,334545,2004999,102431,0,0,35336,1.07667,1.09,217
4,12,6,test,2004999,396599,334545,2004999,111697,0,0,39638,1.09,1.10333,243
4,12,7,test,2004999,396599,334545,2004999,122053,0,0,44032,1.10333,1.11667,269
4,12,8,test,2004999,396599,334545,2004999,219987,0,0,106863,1.11,1.12333,296
4,12,9,test,2004999,396599,334545,2004999,144567,0,0,61961,1.17,1.18333,328
4,12,10,test,2004999,396599,334545,2004999,141227,0,0,53766,1.21667,1.23,311
4,12,11,test,2004999,396599,334545,2004999,142105,0,0,48777,1.23667,1.25,334
4,12,12,test,2004999,396599,334545,2004999,145452,0,0,47008,1.24333,1.25667,358
5,4,4,test,2004999,396599,334545,2004999,118433,0,0,44539,0.616667,0.63,42
5,4,5,test,2004999,396599,334545,2004999,128876,0,0,41322,0.57,0.583333,43
